model_name,pred_len,dataset,mae,mse,rmse,mape,mspe,exp_name,lookback_len,pwindow,pconstructor,mae_identity,mse_identity,rmse_identity,mape_identity,mspe_identity,exp_name_identity,lookback_len_identity,mse_diff,improvement
iTransformer,96,Weather,0.026766451,0.0013238742,0.03638508,0.633993,1.8020086,long_term_forecast_ETTh1_96_96Weather_w1001_ipentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1001,ipentropy.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,7.044790000000005e-05,5.052483927494232
PatchTST,96,Weather,0.026808415,0.0013241246,0.036388524,0.6524966,2.0852218,long_term_forecast_96_96Weather_w1001_pentropy.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1001,pentropy.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.0002738014999999999,17.134803668329837
iTransformer,96,Weather,0.026779523,0.001324808,0.03639791,0.63640565,1.8328791,long_term_forecast_ETTh1_96_96Weather_w1001_pentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1001,pentropy.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,6.951409999999994e-05,4.985512314550557
iTransformer,96,Weather,0.026784778,0.0013254612,0.036406882,0.6338703,1.9636853,long_term_forecast_ETTh1_96_96Weather_w1001_pmutual_info.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1001,pmutual_info.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,6.886089999999989e-05,4.938665176432325
iTransformer,96,Weather,0.02678415,0.0013257765,0.036411215,0.6324638,1.770343,long_term_forecast_ETTh1_96_96Weather_w751_ipentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,751,ipentropy.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,6.854559999999992e-05,4.916052037043659
TimeXer,96,Weather,0.026787259,0.0013273634,0.036433,0.6356446,1.9679663,long_term_forecast_96_96Weather_w1251_pmutual_info.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1251,pmutual_info.csv,0.026967937,0.0013344327,0.036529887,0.6426478,1.9507748,long_term_forecast_96_96Weather.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,7.069300000000058e-06,0.5297606990596122
iTransformer,96,Weather,0.026879964,0.0013288897,0.03645394,0.6124623,1.5851996,long_term_forecast_ETTh1_96_96Weather_w1501_iprollcorr.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1501,iprollcorr.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,6.543239999999995e-05,4.692775076863513
iTransformer,96,Weather,0.026958788,0.0013306867,0.03647858,0.63717073,1.8122028,long_term_forecast_ETTh1_96_96Weather_w501_ipfarm.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,501,ipfarm.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,6.363539999999996e-05,4.563895243430478
iTransformer,96,Weather,0.026765773,0.0013307786,0.03647984,0.63459414,1.8019184,long_term_forecast_ETTh1_96_96Weather_w1251_prollcov.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1251,prollcov.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,6.354350000000006e-05,4.557304226907116
TimeXer,96,Weather,0.026923485,0.0013317567,0.03649324,0.6436974,1.9803545,long_term_forecast_96_96Weather_w501_pentropy.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,501,pentropy.csv,0.026967937,0.0013344327,0.036529887,0.6426478,1.9507748,long_term_forecast_96_96Weather.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,2.6760000000000672e-06,0.20053465416428026
