,mae,mse,rmse,mape,mspe,exp_name,model_name,features_powerset,pred_len,dataset
0,0.3271903,0.16096364,0.40120274,0.23408411,0.07402201,long_term_forecast_96_96powerset_MUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,['MUFL'],96,ETTh1
0,0.32337072,0.16107479,0.40134123,0.24149355,0.09079139,long_term_forecast_96_96powerset_MUFL_LULL.csv_LSTM_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,LSTM,"['MUFL', 'LULL']",96,ETTh1
0,0.3235379,0.16189465,0.40236133,0.23260646,0.078518294,long_term_forecast_96_96powerset_MUFL_LUFL_LULL.csv_LSTM_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,LSTM,"['MUFL', 'LUFL', 'LULL']",96,ETTh1
0,0.32523686,0.16189986,0.40236783,0.23920842,0.084058896,long_term_forecast_336_96powerset_HUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'LULL']",336,ETTh1
0,0.33371615,0.1655652,0.40689704,0.23693432,0.07638387,long_term_forecast_96_96powerset_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,['LULL'],96,ETTh1
0,0.32709417,0.16631345,0.40781546,0.23152903,0.074135184,long_term_forecast_192_96powerset_MUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,['MUFL'],192,ETTh1
0,0.32625312,0.16820994,0.41013405,0.23189647,0.07661267,long_term_forecast_192_96powerset_LUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['LUFL'],192,ETTh1
0,0.33901992,0.16877578,0.4108233,0.24217382,0.08172605,long_term_forecast_96_96powerset_HUFL_MUFL_LULL.csv_LSTM_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,LSTM,"['HUFL', 'MUFL', 'LULL']",96,ETTh1
0,0.33168235,0.17079848,0.41327772,0.24239525,0.0848156,long_term_forecast_192_96powerset_HUFL_MUFL_LUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL', 'LUFL']",192,ETTh1
0,0.3385441,0.17245838,0.4152811,0.23989493,0.0783602,long_term_forecast_192_96powerset_LUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,['LUFL'],192,ETTh1
