,mae,mse,rmse,mape,mspe,exp_name,model_name,pred_len,lookback_len,pwindow,pconstructor,dataset
0,0.026958788,0.0013306867,0.03647858,0.63717073,1.8122028,long_term_forecast_ETTh1_96_96Weather_w501_ipfarm.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,501,ipfarm.csv,Weather
0,0.026765773,0.0013307786,0.03647984,0.63459414,1.8019184,long_term_forecast_ETTh1_96_96Weather_w1251_prollcov.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1251,prollcov.csv,Weather
0,0.026923485,0.0013317567,0.03649324,0.6436974,1.9803545,long_term_forecast_96_96Weather_w501_pentropy.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,501,pentropy.csv,Weather
0,0.026929455,0.0013318469,0.03649448,0.64338946,1.9912802,long_term_forecast_96_96Weather_w501_ipentropy.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,501,ipentropy.csv,Weather
0,0.026978025,0.0013319175,0.036495443,0.6548073,2.1055145,long_term_forecast_96_96Weather_w1001_prollcorr.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1001,prollcorr.csv,Weather
0,0.026828665,0.0013320518,0.036497284,0.6110073,1.5923128,long_term_forecast_ETTh1_96_96Weather_w1251_iprollcorr.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1251,iprollcorr.csv,Weather
0,0.02689706,0.0013331464,0.036512278,0.65551406,2.1530895,long_term_forecast_96_96Weather_w1001_iprollcorr.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,1001,iprollcorr.csv,Weather
0,0.026991064,0.0013338883,0.036522437,0.65563375,2.118513,long_term_forecast_96_96Weather_w751_prollcorr.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,751,prollcorr.csv,Weather
0,0.026967937,0.0013344327,0.036529887,0.6426478,1.9507748,long_term_forecast_96_96Weather.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,,identity,Weather
0,0.02695938,0.0013347405,0.0365341,0.6427806,1.9496429,long_term_forecast_96_96Weather_w1251_pentropy.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1251,pentropy.csv,Weather
0,0.026697738,0.0013355602,0.036545318,0.6475614,2.1412573,long_term_forecast_96_96Weather_w501_iprollcov.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,501,iprollcov.csv,Weather
0,0.026931962,0.0013358006,0.036548607,0.6516529,2.011439,long_term_forecast_96_96Weather_w1251_prollcov.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1251,prollcov.csv,Weather
0,0.02699437,0.0013360376,0.036551848,0.648992,1.9661672,long_term_forecast_96_96Weather_w1001_prollcov.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1001,prollcov.csv,Weather
0,0.026920654,0.0013367725,0.0365619,0.6356204,1.8391312,long_term_forecast_ETTh1_96_96Weather_w1001_iprollcorr.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1001,iprollcorr.csv,Weather
