model_name,pred_len,dataset,mse,pwindow,pconstructor,mse_identity,mse_diff,improvement
TimeXer,96,ETTh2,0.14236788,1001,ipmutual,0.14430724,0.001939360000000001,1.3439103956253344
iTransformer,96,ETTm1,0.02998923,1251,ipfarm.csv,0.030397011,0.0004077810000000029,1.3415167695271184
iTransformer,96,ETTm1,0.029994188,1001,ipmutual,0.030397011,0.00040282300000000007,1.325205955282906
iTransformer,192,ETTm2,0.11858965,1251,iprollcov.csv,0.12018147,0.0015918199999999938,1.3245136708678915
iTransformer,192,ETTh2,0.1913935,1501,ipentropy.csv,0.19396114,0.00256764000000001,1.3237909408039208
TimeXer,96,ETTm2,0.06692259,1001,prollcorr.csv,0.06781768,0.0008950900000000012,1.3198475677728891
iTransformer,96,ETTm1,0.029997889,1251,pentropy.csv,0.030397011,0.00039912200000000175,1.313030416049794
TimeXer,96,ETTh2,0.14244907,1001,iprollcorr.csv,0.14430724,0.0018581699999999923,1.287648492203158
iTransformer,192,ETTh2,0.19146967,501,pmutual,0.19396114,0.0024914699999999956,1.2845201879098027
TimeXer,96,ETTm2,0.066948876,1001,iprollcov.csv,0.06781768,0.0008688040000000008,1.2810877635448465
TimeXer,96,ETTm2,0.06695921,1501,pentropy.csv,0.06781768,0.0008584700000000001,1.2658498491838706
iTransformer,96,Traffic,0.15441714,501,prollcov.csv,0.15639566,0.0019785199999999836,1.2650734681512157
iTransformer,96,ETTm1,0.030014845,501,pfarm.csv,0.030397011,0.0003821660000000032,1.2572486156615965
TimeXer,96,ETTm2,0.06696919,501,iprollcorr.csv,0.06781768,0.0008484900000000073,1.251133922599545
iTransformer,192,ETTh2,0.19155774,1501,ipfarm.csv,0.19396114,0.0024034,1.2391141854497245
iTransformer,96,Traffic,0.15446073,1001,prollcov.csv,0.15639566,0.0019349300000000014,1.237201850741895
iTransformer,96,Traffic,0.15446201,1251,iprollcorr.csv,0.15639566,0.0019336499999999812,1.236383413708527
TimeXer,96,Traffic,0.16635922,1001,iprollcorr.csv,0.1684373,0.00207808000000001,1.2337409825495955
TimeXer,96,ETTh2,0.14252888,1251,ipmutual,0.14430724,0.0017783600000000066,1.2323428817570112
iTransformer,96,ETTm1,0.030022437,1501,prollcov.csv,0.030397011,0.0003745740000000025,1.2322724757378365
iTransformer,96,ETTh2,0.13549589,751,iprollcorr.csv,0.13711844,0.0016225500000000004,1.1833200552748415
iTransformer,96,ETTm2,0.074922815,751,ipentropy.csv,0.0758165,0.0008936849999999913,1.1787473702953728
iTransformer,96,ETTh2,0.13550305,1001,ipmutual,0.13711844,0.0016153899999999943,1.1780982922501118
iTransformer,96,ETTh2,0.13551103,501,prollcorr.csv,0.13711844,0.0016074100000000036,1.1722785060856902
iTransformer,96,Traffic,0.15456377,1001,prollcorr.csv,0.15639566,0.0018318900000000027,1.1713176695568168
iTransformer,96,Weather,0.0013783998,1251,prollcorr.csv,0.0013943221,1.5922299999999914e-05,1.1419384373237658
iTransformer,96,ETTm1,0.030055441,501,iprollcorr.csv,0.030397011,0.00034157000000000284,1.1236960107689629
TimeXer,96,Weather,0.0013197099,751,ipmutual,0.0013344327,1.4722800000000055e-05,1.103300301319059
iTransformer,96,ETTh2,0.13562122,1251,iprollcorr.csv,0.13711844,0.0014972200000000213,1.091917323446811
TimeXer,96,ECL,0.26591513,501,ipfarm.csv,0.26882008,0.0029049500000000172,1.0806298398542313
PatchTST,96,ETTm2,0.063732125,1001,prollcorr.csv,0.06441702,0.0006848950000000048,1.0632205587902153
iTransformer,96,ETTm2,0.07501544,1251,iprollcov.csv,0.0758165,0.0008010599999999923,1.056577394102857
TimeXer,96,ETTh1,0.056045625,1001,pmutual,0.056639295,0.0005936699999999975,1.0481592329141765
iTransformer,96,Traffic,0.1547627,501,prollcorr.csv,0.15639566,0.0016329599999999889,1.0441210453026568
iTransformer,192,ETTh1,0.07173058,1001,pmutual,0.07248679,0.0007562099999999933,1.043238361086197
iTransformer,96,ETTh2,0.13570246,751,pfarm.csv,0.13711844,0.0014159800000000111,1.03266927482548
iTransformer,96,ETTm2,0.07503479,1001,prollcov.csv,0.0758165,0.000781709999999991,1.0310552452302482
iTransformer,192,Weather,0.0015666516,751,pfarm.csv,0.0015828296,1.617799999999994e-05,1.0220935974409335
iTransformer,192,ETTh2,0.1919936,1251,ipmutual,0.19396114,0.0019675400000000176,1.0143990698343068
TimeXer,96,Weather,0.0013211563,1501,ipfarm.csv,0.0013344327,1.327639999999992e-05,0.9949096721026035
iTransformer,96,Traffic,0.15484248,1501,iprollcorr.csv,0.15639566,0.0015531799999999873,0.993109399583075
TimeXer,96,ETTm2,0.06715876,501,ipmutual,0.06781768,0.0006589200000000073,0.9716050445842548
iTransformer,96,ETTh2,0.1357937,1501,prollcov.csv,0.13711844,0.0013247400000000187,0.966128261085831
TimeXer,96,ETTh1,0.056093298,501,pmutual,0.056639295,0.0005459969999999995,0.963989753050421
iTransformer,96,ETTh2,0.135811,1251,iprollcov.csv,0.13711844,0.0013074400000000208,0.9535114314311194
PatchTST,96,ETTm2,0.063804194,501,prollcov.csv,0.06441702,0.0006128260000000108,0.9513417416701528
iTransformer,192,Weather,0.0015678493,501,iprollcov.csv,0.0015828296,1.4980300000000044e-05,0.9464253132491359
